begin {Parameters}
Number of BasicAreas
132
Basic Area Type
Point
Metric
geodecimal
end {Parameters}

#Parameter ExtId	XPos	YPos	Activity
begin {BasicAreas}
0	12.6375	51.6032	119.11
1	12.8656	51.6248	69.09
2	11.9546	51.6009	150.25
3	11.47	51.6735	260.22
4	11.6639	51.6246	62.53
5	12.0088	51.7554	276.73
6	12.0668	51.6989	202.33
7	12.0541	51.8412	97.9
8	12.0794	51.7753	80.25
9	11.9228	51.6847	58.56
10	11.7528	51.8002	335.51
11	11.8301	51.771	110.94
12	11.79	51.6743	92.5
13	11.6678	51.7088	80.85
14	11.7767	51.8396	75.47
15	11.4671	51.8127	362.26
16	11.5486	51.6976	48.55
17	12.3254	51.6328	187.97
18	12.2386	51.6711	382.01
19	12.4842	51.7482	171.72
20	12.5248	51.6445	81.88
21	12.2624	51.7356	74.43
22	12.1387	51.6327	90.71
23	12.4311	51.8045	55.35
24	12.4123	51.8438	52.36
25	12.3855	51.7343	55.31
26	12.2545	51.6306	71.37
27	12.337	51.6824	44.48
28	12.2945	51.6505	32.55
29	12.3831	51.6794	30.67
30	12.3187	51.785	215.77
31	12.2793	51.8506	235.14
32	12.1905	51.8475	131.44
33	12.1825	51.7982	139.15
34	12.2611	51.8002	144.73
35	12.3106	51.9536	195.59
36	12.4601	51.9297	139.29
37	12.6206	51.8733	447.23
38	12.7775	51.8771	95.15
39	12.7597	51.9311	73.48
40	12.6126	51.9501	48.78
41	12.6995	51.7604	62.34
42	12.7205	51.6988	54.21
43	12.7749	51.7237	37.29
44	12.9517	51.8078	102.27
45	12.8792	51.8761	54.85
46	12.9155	51.6925	41.63
47	12.8922	52.3802	229.36
48	12.9514	52.2242	122.82
49	12.9406	52.3171	51.93
50	12.7992	52.4199	47.66
51	12.8653	52.6017	294.83
52	12.623	52.7195	40.23
53	12.8255	52.4984	46.2
54	12.3623	52.6206	276.53
55	12.5561	52.5929	164.92
56	12.3695	52.5308	101.18
57	12.3853	52.7409	34.19
58	12.5253	52.4078	260.3
59	12.5068	52.4391	229.15
60	12.4224	52.4075	73.45
61	12.5765	52.4169	236.92
62	12.6356	52.4486	148.79
63	12.3745	52.3803	53.52
64	12.3625	52.2509	48.26
65	12.7101	52.3188	91.03
66	12.4718	52.5045	32.86
67	12.5972	52.1721	135.83
68	12.7767	52.1986	99.94
69	12.6251	52.0637	42.71
70	12.3946	52.0934	43.19
71	12.3346	52.1648	20.77
72	13.082	51.9704	301.12
73	12.8707	52.0844	66.83
74	13.0232	52.7847	66.84
75	12.7624	52.8946	86.34
76	12.7889	52.7923	76.03
77	12.4235	52.8658	153.46
78	12.4982	52.8983	35.74
79	11.6333	52.1208	223.35
80	11.6529	52.1474	179.5
81	11.6196	52.1328	218.51
82	11.5751	52.1271	131.87
83	11.6165	52.1131	191.74
84	11.6857	52.1301	136.83
85	11.5609	52.0942	109.34
86	11.6083	52.0885	159.15
87	11.6352	52.0885	104.86
88	11.6649	52.0709	116.57
89	11.6475	52.1555	221.07
90	11.6682	52.1907	123.75
91	11.6103	52.1665	236.64
92	11.5776	52.1612	234.29
93	11.4601	52.1372	128.74
94	11.5575	52.0175	110.12
95	11.771	52.1532	105.78
96	11.6003	52.2003	75.9
97	11.7373	52.0214	371.91
98	11.7047	51.9751	102
99	11.8425	51.898	186.3
100	11.8341	52.0627	89.99
101	11.8479	51.972	75.84
102	12.0874	51.9721	167.73
103	11.9645	51.9835	123.13
104	12.0657	52.101	64.71
105	11.8702	52.2783	237.24
106	11.9929	52.2269	243.13
107	12.1555	52.3857	248.42
108	11.985	52.3918	70.25
109	12.0395	52.4891	34.71
110	11.6354	52.2815	350.66
111	11.4436	52.3096	186.16
112	11.303	52.2398	171.21
113	11.3643	52.3299	61.83
114	11.5769	51.8409	240.11
115	11.4909	51.9149	131.2
116	11.6101	51.7922	59.83
117	11.6331	51.89	51.75
118	11.5241	51.8471	40.08
119	11.5515	51.8912	34.74
120	11.7737	52.4372	165.79
121	12.1079	52.6586	103.2
122	12.1428	52.8411	75.68
123	11.8872	52.6148	415.23
124	11.7309	52.6642	90.67
125	11.9362	52.5781	120.1
126	11.942	52.7088	73.62
127	11.6928	52.5656	49.33
128	11.7192	52.7742	194.81
129	11.4195	52.6908	107.05
130	11.5398	52.662	37.27
131	11.4033	52.5043	243.96
end {BasicAreas}
