begin {Parameters}
Number of BasicAreas
799
Basic Area Type
Point
Metric
geodecimal
end {Parameters}

#Parameter ExtId	XPos	YPos	Activity
begin {BasicAreas}
0	9.0416	51.7251	193.01
1	9.1763	51.7183	177.88
2	8.5922	51.5516	222.22
3	8.5956	51.6704	230.02
4	8.8779	51.6175	106.96
5	8.7654	51.6539	127.17
6	8.7356	51.5339	120.36
7	9.4906	51.317	118.59
8	9.4621	51.3199	177.83
9	9.4742	51.302	229.88
10	9.5252	51.2968	235.8
11	9.5346	51.3338	238.83
12	9.4925	51.3389	192.46
13	9.4199	51.341	196.86
14	9.435	51.3249	99.47
15	9.4013	51.3161	144.63
16	9.4087	51.2845	161.92
17	9.4596	51.2835	187.47
18	9.5964	51.1401	141
19	9.4035	51.2519	276.79
20	9.5439	51.3777	122.05
21	9.4628	51.3637	178.11
22	9.5548	51.2691	135.99
23	9.6122	51.2778	124.78
24	9.5838	51.318	100.87
25	9.323	51.2801	103.14
26	9.4892	51.2498	89.88
27	9.3657	51.199	88.13
28	9.6811	51.1202	67.96
29	9.2769	51.3659	69.46
30	9.396	51.367	82.69
31	9.3956	51.2246	73.01
32	9.694	51.2438	59.39
33	9.5106	51.2014	53.65
34	9.3069	51.2215	56.51
35	9.2568	51.2444	63.55
36	9.1841	51.2309	57.11
37	9.462	51.3964	48.83
38	9.3296	51.33	50.42
39	9.5737	51.2202	52.28
40	9.5018	51.0822	43.58
41	9.6173	51.0611	39.43
42	9.5384	51.1753	28.78
43	9.6602	51.3073	15.85
44	9.685	51.4584	258.37
45	9.6509	51.3459	87.39
46	9.5972	51.5061	53.74
47	9.4788	51.5282	167.55
48	9.4957	51.4356	72.25
49	9.3519	51.412	78.68
50	9.4449	51.6346	45.65
51	9.4273	51.5791	57.9
52	9.4132	51.4421	62.61
53	9.2846	51.501	37.28
54	9.5914	51.5908	37.68
55	9.089	51.514	241.3
56	8.836	51.4637	227.57
57	9.247	51.5902	98.51
58	9.0923	51.6049	90.17
59	9.0211	51.3598	168.41
60	9.1869	51.3279	133.63
61	9.1001	51.4123	70.73
62	8.99	51.4777	59.05
63	8.9554	51.3354	48.76
64	9.2055	51.4373	39.01
65	8.8449	51.2719	245.1
66	8.6659	51.2961	67.61
67	9.0348	51.2466	78.94
68	8.9002	51.1779	64.35
69	8.7944	51.3441	56.94
70	9.0866	51.0876	180.7
71	9.0818	51.1658	70.42
72	9.2755	51.1449	147.48
73	9.4051	51.0055	154.13
74	9.2767	51.0429	140.72
75	9.4463	51.1389	115.19
76	9.3462	51.0991	76.86
77	9.5091	50.9922	52.52
78	9.1544	51.0587	43.12
79	9.2304	51.0012	34.48
80	9.2068	50.9185	193.44
81	9.334	50.9565	82.68
82	9.3513	50.8748	75.34
83	9.2249	50.8628	53.6
84	9.0631	50.9519	36.47
85	9.1221	50.9918	28.75
86	9.3951	50.8096	26.25
87	9.2847	50.8337	33.7
88	9.4414	50.9059	12.63
89	8.7455	50.8081	282
90	8.7762	50.813	233.56
91	8.6995	50.8133	115.93
