begin {Parameters}
Number of BasicAreas
299
Basic Area Type
Point
Metric
geodecimal
end {Parameters}

#Parameter ExtId	XPos	YPos	Activity
begin {BasicAreas}
0	9.182	50.5789	33.8
1	9.6816	50.5585	134.89
2	9.6867	50.5928	184.79
3	9.6223	50.5658	127.44
4	9.6873	50.5272	176.28
5	9.7369	50.6684	159.62
6	9.7678	50.5234	159.91
7	9.7441	50.5878	143.71
8	9.5497	50.4192	86.45
9	9.5497	50.6872	102.86
10	9.9794	50.5353	80.29
11	9.5749	50.4696	116.7
12	9.7244	50.4641	103.05
13	9.9008	50.4495	64.94
14	9.8173	50.764	77.38
15	9.5435	50.5719	85.05
16	10.0148	50.6283	48.33
17	9.863	50.5782	60.69
18	9.6852	50.4112	63.05
19	9.6894	50.7084	66.72
20	9.5008	50.5162	46.24
21	9.7995	50.459	45.16
22	9.8205	50.5357	33.09
23	9.8881	50.4914	24.21
24	9.672	50.7639	32.02
25	9.8629	50.6592	27.91
26	9.8964	50.7157	18.33
27	9.4972	50.7775	20.44
28	9.3109	50.7611	180.29
29	9.3082	50.681	33.93
30	9.4311	50.7347	29.87
31	9.1745	50.6324	30.14
32	9.2069	50.6969	30.83
33	9.369	50.6382	146.38
34	9.3491	50.4875	53.43
35	9.3693	50.5504	52.44
36	9.5056	50.6365	32.56
37	9.4578	50.6211	40.64
38	9.2934	50.5862	27.09
39	9.5664	50.3503	166.95
40	9.6508	50.2943	99.15
41	9.4606	50.3451	111.95
42	9.4057	50.4358	34.5
43	10.0431	50.7953	89.95
44	9.9748	50.707	74.49
45	10.2511	50.8284	251.32
46	10.1369	50.6628	64.25
47	10.1413	50.7644	39.83
48	10.1335	50.7084	42.59
49	9.1929	50.206	216.56
50	9.1603	50.2335	142.49
51	9.211	50.1695	94.92
52	9.3196	50.187	81.21
53	9.2735	50.2811	119.34
54	9.3582	50.2072	98.6
55	9.4738	50.2649	133.18
56	9.3123	50.3923	63.56
57	9.293	50.3018	54.59
58	9.4411	50.1707	38.07
59	9.4522	50.1273	25.81
60	9.1124	50.2855	207.28
61	9.1562	50.4922	113.9
62	9.2086	50.4112	75.86
63	9.1903	50.3491	31.96
64	9.1728	49.9463	182.33
65	9.2136	50.0127	133.86
66	9.1653	50.0697	124.84
67	9.2111	49.9585	82.99
68	9.2024	49.8356	87.02
69	9.2442	50.1009	83.55
70	9.2866	50.116	18.73
71	9.2038	50.082	21.64
72	9.3657	50.111	11.54
73	9.17	49.914	69.22
74	9.1956	49.8702	55.95
75	9.221	49.8732	19.89
76	9.3641	49.9974	53.89
77	9.236	49.8982	47.5
78	9.2646	49.967	57.37
79	9.3089	49.9669	39.55
80	9.3974	49.9586	18.65
81	9.2934	49.8339	42.51
82	9.3685	50.0365	25.11
83	9.3417	50.0699	9.46
84	9.292	49.8811	22.12
85	9.3331	49.8619	20.45
86	9.303	49.9235	24
87	9.261	50.0302	36.17
88	9.3756	49.932	21.29
89	9.246	49.6899	97.49
90	9.1799	49.8102	98.4
