begin {Parameters}
Number of BasicAreas
9999
Basic Area Type
Point
Metric
l2
end {Parameters}

#Parameter	ExtId	XPos	YPos	Activity	Activity
begin {BasicAreas}
0	100.22	25.7325	3	7
1	100.22	25.7305	1	4
2	100.22	25.7256	2	8
3	100.219	25.7285	3	7
4	100.22	25.7281	2	5
5	100.219	25.727	3	9
6	100.219	25.7313	1	3
7	100.219	25.7253	1	1
8	100.218	25.7327	1	3
9	100.218	25.7306	1	3
10	100.217	25.7334	1	2
11	100.217	25.7347	3	8
12	100.216	25.7352	3	5
13	100.215	25.7335	1	1
14	100.214	25.7335	2	6
15	100.213	25.7361	3	7
16	100.212	25.7337	2	4
17	100.229	25.7189	2	5
18	100.227	25.7157	1	3
19	100.227	25.7177	2	6
20	100.228	25.7217	3	9
21	100.227	25.7196	3	11
22	100.227	25.7213	3	8
23	100.226	25.7187	2	5
24	100.225	25.7222	2	6
25	100.225	25.7164	1	3
26	100.225	25.7175	1	4
27	100.224	25.723	3	6
28	100.224	25.7215	1	1
29	100.223	25.7201	1	1
30	100.223	25.7187	2	5
31	100.223	25.7158	3	8
32	100.222	25.7172	1	3
33	100.221	25.716	2	3
34	100.235	25.7164	2	5
35	100.233	25.7161	2	4
36	100.232	25.717	1	1
37	100.23	25.7169	3	7
38	100.223	25.7281	1	1
39	100.223	25.7304	3	11
40	100.223	25.7262	1	3
41	100.222	25.7246	1	2
42	100.222	25.7289	1	1
43	100.221	25.7303	3	3
44	100.221	25.7266	2	4
45	100.221	25.7251	1	4
46	100.233	25.7288	2	7
47	100.232	25.7301	3	10
48	100.229	25.7295	1	4
49	100.23	25.7305	3	5
50	100.228	25.7309	1	2
51	100.227	25.7308	2	7
52	100.226	25.7297	1	4
53	100.225	25.7284	1	4
54	100.235	25.7422	2	4
55	100.234	25.7432	2	5
56	100.231	25.7317	1	2
57	100.231	25.733	3	4
58	100.231	25.7342	3	6
59	100.23	25.732	3	10
60	100.229	25.7357	3	10
61	100.229	25.7339	3	6
62	100.228	25.7322	3	11
63	100.234	25.7288	2	3
64	100.234	25.727	1	4
65	100.237	25.7313	3	8
66	100.236	25.733	3	9
67	100.236	25.7341	1	3
68	100.235	25.7304	3	8
