begin {Parameters}
Number of BasicAreas
101
Basic Area Type
Point
Metric
geodecimal
end {Parameters}

#Parameter ExtId	XPos	YPos	Activity
begin {BasicAreas}
0	7.3654	51.2122	249.29
1	7.4737	51.5151	155.51
2	7.448	51.51	233.68
3	7.46	51.4992	209.47
4	7.4984	51.5053	215.75
5	7.5134	51.5204	245.92
6	7.4834	51.5374	224.86
7	7.4423	51.5288	219.06
8	7.415	51.5016	249.36
9	7.4494	51.4807	257.76
10	7.4333	51.4669	137.64
11	7.4601	51.4641	182.14
12	7.4972	51.4903	249.3
13	7.4927	51.4509	132.73
14	7.523	51.4579	161.01
15	7.5209	51.4907	219.95
16	7.5566	51.4915	232.31
17	7.5909	51.4881	131.96
18	7.5534	51.5299	252.73
19	7.6009	51.5394	328.35
20	7.5372	51.5479	231.01
21	7.5419	51.5685	182.55
22	7.462	51.5678	331.43
23	7.3864	51.573	194.33
24	7.4022	51.5376	243.2
25	7.5403	51.6047	348.69
26	7.5084	51.6327	293.16
27	7.4677	51.6048	273.05
28	7.3282	51.6685	373.79
29	7.3914	51.6259	306
30	7.715	51.8025	138.07
31	8.0111	51.191	185.38
32	7.4303	51.3751	259.08
33	7.5241	51.3119	196.99
34	7.534	51.3747	254.46
35	7.4857	51.3608	190.87
36	7.4789	51.374	292.09
37	7.4874	51.4	303.84
38	7.5671	51.3559	253.16
39	7.4199	51.3326	321.51
40	7.5689	51.4335	512.14
41	7.3648	51.2879	338.33
42	7.3525	51.38	297.35
43	7.4098	51.4149	261.85
44	7.4427	51.268	87.69
45	7.3745	51.4323	204.65
46	7.3821	51.4586	191.83
47	7.6262	51.2333	185.86
48	7.6076	51.2248	214.13
49	7.6485	51.2211	245.49
50	7.6522	51.2368	89.23
51	7.6287	51.2025	79.01
52	7.5001	51.1841	175.34
53	7.5624	51.2614	121.36
54	7.7185	51.3886	215.32
55	7.6765	51.3834	137.11
56	7.674	51.4326	224.67
57	7.6292	51.3684	260.19
58	7.6875	51.3403	158.73
59	7.7861	51.367	369.95
60	7.7919	51.436	246.91
61	7.8503	51.436	191.08
62	7.8263	51.4116	151.84
63	7.7534	51.4998	227.4
64	7.8781	51.4969	126.81
65	7.6982	51.2812	230.77
66	7.6212	51.3159	70.5
67	7.7554	51.2568	220.5
68	7.8551	51.3481	121.87
69	7.8239	51.2856	122.74
70	7.8575	51.2086	292.63
71	7.7509	51.1876	75.42
72	7.8307	51.6737	193.46
73	7.8074	51.6911	243.68
74	7.7793	51.6624	236.76
75	7.8679	51.6251	155.13
76	7.9161	51.674	252.08
77	7.8322	51.7198	188.69
78	7.7456	51.7079	278.31
79	7.7453	51.6474	259.08
80	7.6688	51.5835	467.34
81	7.624	51.626	530.74
82	7.7667	51.5948	193.65
83	7.8862	51.7787	265.35
84	7.9171	51.7408	289.35
85	7.3976	51.7789	222.9
86	7.6321	51.679	308.63
87	7.4765	51.6898	268.42
88	7.6417	51.7754	147.14
89	7.5518	51.731	97.36
90	7.3727	51.705	109.67
91	7.6926	51.5319	179.44
92	7.6924	51.5533	279.99
93	7.7347	51.5361	225.55
94	7.6337	51.4883	174.5
95	7.9099	51.5534	316.49
96	7.9596	51.5045	117.52
97	8.0755	51.6709	124.24
98	7.9983	51.6194	125.67
99	7.9484	51.4342	142.42
100	8.0163	51.3161	299.01
end {BasicAreas}
