begin {Parameters}
Number of BasicAreas
412
Basic Area Type
Line
Metric
geodecimal
end {Parameters}

#Parameter	ExtId	Activity	Coords	District
begin {BasicAreas}
0012	200.000000	(7.566080,50.520170)(7.565870,50.521060)
0013	570.000000	(7.568850,50.525540)(7.571040,50.527690)
0120	336.000000	(7.556160,50.498110)(7.558210,50.498850)
0125	100.000000	(7.549740,50.495440)(7.550280,50.495730)
13271	1062.000000	(7.567240,50.515490)(7.567220,50.516810)(7.567090,50.517470)(7.566340,50.518690)(7.566080,50.520170)
13995	522.000000	(7.566760,50.513160)(7.566870,50.514020)(7.567240,50.515370)(7.567240,50.515490)
13996	898.000000	(7.562150,50.501290)(7.567140,50.503680)
13997	88.000000	(7.562150,50.501290)(7.561550,50.501380)
14112	204.000000	(7.558130,50.496990)(7.559340,50.497470)
14113	188.000000	(7.559340,50.497470)(7.560470,50.497900)
14141	264.000000	(7.560470,50.497900)(7.562070,50.498500)
14142	56.000000	(7.550640,50.498170)(7.550980,50.498290)
14143	72.000000	(7.554040,50.500360)(7.554040,50.500680)
14144	70.000000	(7.553400,50.495230)(7.553730,50.495460)
14145	184.000000	(7.553730,50.495460)(7.552920,50.496100)
14146	90.000000	(7.552440,50.498520)(7.553010,50.498590)
14147	212.000000	(7.555510,50.500070)(7.556320,50.500860)
14148	344.000000	(7.567700,50.508850)(7.568620,50.510280)
14149	256.000000	(7.557580,50.499110)(7.556120,50.499780)
14150	122.000000	(7.555510,50.500070)(7.554800,50.500380)
14151	78.000000	(7.551690,50.497790)(7.551420,50.498100)
14152	104.000000	(7.549180,50.498080)(7.549890,50.498180)
14153	56.000000	(7.549710,50.497260)(7.549730,50.497510)
14154	88.000000	(7.551190,50.497560)(7.551690,50.497790)
14156	272.000000	(7.549180,50.498080)(7.549140,50.498240)(7.550490,50.498810)
14157	28.000000	(7.552290,50.498440)(7.552440,50.498520)
14158	174.000000	(7.554590,50.498630)(7.555420,50.499200)
14159	136.000000	(7.551140,50.499270)(7.550600,50.499750)
14160	272.000000	(7.556120,50.499780)(7.557490,50.500630)
14161	146.000000	(7.551420,50.498100)(7.552290,50.498440)
14162	238.000000	(7.551140,50.499270)(7.550070,50.499640)(7.549880,50.499900)
14163	108.000000	(7.556120,50.499780)(7.555510,50.500070)
